persona,kpi,difficulty,synthetic_questions
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"What is the trend of 90+ DPD accounts segmented by loan type over the last 24 months, and how does it correlate with macroeconomic indicators such as unemployment and interest rates?"
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"For accounts that became delinquent in the last year, what share had less than 3 previous months of payment history versus those with more, and how does this impact future default likelihood?"
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,Analyze the concentration risk by identifying the top 10% of borrowers contributing to 50% of the total non-performing loans; what segments or characteristics do they share?
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"What behavioral traits or transaction patterns can predict early warning signals for accounts that transition from 30 DPD to 90 DPD, based on historical data?"
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"How does the delinquency ratio differ across different branch locations, and are there significant concentrations in urban versus rural regions?"
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,Identify product-level risks by assessing the average time to delinquency for each loan type and the corresponding 90+ DPD rate; which products require targeted risk mitigation strategies?
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"What percentage of accounts with a low credit score (below 600) are actively engaging in additional borrowing, and what is the trend in their delinquency rates versus higher-scored borrowers?"
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"How do the recent credit utilization ratios of non-performing loan accounts compare to those that have remained performing, particularly in the last six months?"
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,Evaluate the effect of promotional loan offers on the delinquency rates of those specific products; what is the post-promotion delinquency trend for those who took advantage?
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"What is the percentage of accounts moving from a high utilization rate to delinquency, and how does this varied by age of the account and total loan amount?"
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,What is the average total deposit balance by geography for accounts opened in the last year?
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,"Which geographical region has the highest concentration of accounts with balances over $10,000?"
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,What is the total deposit balance for the top 5 customer segments by account number in each region?
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,How many accounts in the last 6 months have deposits concentrated in only one geographical area?
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,What percentage of accounts with no recent activity (last 90 days) are located in the top 3 geographies by total balance?
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,Which 5 zip codes show the highest growth in total deposit balance over the past year?
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,What is the ratio of total deposits to total number of accounts by region?
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,How many deposit accounts are shared among the top 5 member groups in each geographical area?
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,Which geographical area has the highest average account balance among long-term account holders (5+ years)?
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,What percentage of accounts in each geography have balances less than $500?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What percentage of accounts have made no transactions in the last 90 days?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the total number of accounts that have closed within the last 90 days?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,"What percentage of accounts have a loan balance greater than $10,000?"
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,How many accounts have a credit card linked that is active?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the total number of accounts that have commented in the last 30 days?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What percentage of accounts have a tracking feature turned off?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,How many accounts have more than one loan?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the average loan balance for all accounts as of today?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the total number of accounts that have shared their profile in the last 30 days?
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What percentage of accounts have received a note in the last 30 days?
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,What is the average credit card balance per account in the top 5 states by total account balance?
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,"Which member segments have the highest percentage of credit card balances over $5,000?"
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,What percentage of accounts with a credit card have an account balance exceeding the average balance for their demographic segment?
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,"How many accounts have both a credit card and a loan, and what is the average balance for these accounts?"
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,What is the distribution of credit card balances across different age groups of members?
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,Which 10 zip codes have the highest average credit card balances among active accounts?
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,What percentage of credit card accounts are from members with less than one year of account longevity?
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,medium,How does the average credit card exposure differ between members with one credit card versus those with multiple?
