name,input,actual_output,expected_output,test_success,metric_name,metric_score,metric_threshold,metric_success,metric_reason
test_case_0,What are typical deposit balance ranges by geographic region in US banks?,"Typical deposit balances vary widely by region, largely tracking income and cost-of-living differences. States in the West and Northeast, such as Hawaii, New Jersey, Washington, and California, often show median household bank balances in the low to mid tens of thousands of dollars. In contrast, many Southern states have median balances in the low thousands or even below $3,000. Urban, higher-income coastal regions generally exhibit higher balances than rural or lower-income regions.",,True,Answer Relevancy,1.0,0.5,True,"Great job! The answer is fully relevant and directly addresses the question about deposit balance ranges by geographic region in US banks, with no irrelevant information included."
test_case_0,What are typical deposit balance ranges by geographic region in US banks?,"Typical deposit balances vary widely by region, largely tracking income and cost-of-living differences. States in the West and Northeast, such as Hawaii, New Jersey, Washington, and California, often show median household bank balances in the low to mid tens of thousands of dollars. In contrast, many Southern states have median balances in the low thousands or even below $3,000. Urban, higher-income coastal regions generally exhibit higher balances than rural or lower-income regions.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
test_case_1,Which US regions have the highest concentration of high-balance deposit accounts?,"Regions with higher incomes and higher costs of living tend to have the highest concentration of high-balance deposit accounts. Coastal metropolitan areas in the Northeast (e.g., New York, New Jersey, Massachusetts) and West (e.g., California, Washington, Hawaii) are typically overrepresented in higher balance tiers. These areas host more affluent households and higher asset concentrations in both checking and savings. Wealthy suburbs around major cities also contribute significantly to high-balance concentrations.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_1,Which US regions have the highest concentration of high-balance deposit accounts?,"Regions with higher incomes and higher costs of living tend to have the highest concentration of high-balance deposit accounts. Coastal metropolitan areas in the Northeast (e.g., New York, New Jersey, Massachusetts) and West (e.g., California, Washington, Hawaii) are typically overrepresented in higher balance tiers. These areas host more affluent households and higher asset concentrations in both checking and savings. Wealthy suburbs around major cities also contribute significantly to high-balance concentrations.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
test_case_2,What are typical deposit balances by customer segment in banking?,"Typical deposit balances increase with income, age, and relationship depth with the bank. Mass-market retail customers often maintain low-to-mid four-figure balances, while mass-affluent segments commonly hold mid-five-figure combined deposits. High-net-worth and private banking clients may hold six- or seven-figure balances across checking, savings, and money market accounts. Small businesses also often maintain higher operating balances than retail customers, reflecting cash-flow needs.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and informative!
test_case_2,What are typical deposit balances by customer segment in banking?,"Typical deposit balances increase with income, age, and relationship depth with the bank. Mass-market retail customers often maintain low-to-mid four-figure balances, while mass-affluent segments commonly hold mid-five-figure combined deposits. High-net-worth and private banking clients may hold six- or seven-figure balances across checking, savings, and money market accounts. Small businesses also often maintain higher operating balances than retail customers, reflecting cash-flow needs.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited issues. The response is balanced and fair."
test_case_3,What percentage of bank customers maintain accounts in single versus multiple locations?,Insufficient information to answer the question.,,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question without any irrelevant information. Great job staying focused and concise!
test_case_3,What percentage of bank customers maintain accounts in single versus multiple locations?,Insufficient information to answer the question.,,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output contains no biased language or content, demonstrating neutrality and fairness throughout."
test_case_4,What are typical inactive account rates by geographic region?,Insufficient information to answer the question.,,False,Answer Relevancy,0.0,0.5,False,"The score is 0.00 because the response did not provide any information about typical inactive account rates by geographic region and only stated a lack of information, making it completely irrelevant to the input question."
test_case_4,What are typical inactive account rates by geographic region?,Insufficient information to answer the question.,,False,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias and provides a balanced perspective, as indicated by the absence of any cited biased phrases. Excellent neutrality is demonstrated."
