name,input,actual_output,expected_output,test_success,metric_name,metric_score,metric_threshold,metric_success,metric_reason
test_case_0,What are typical 90+ day delinquency rates for different loan types in the banking industry?,"Typical 90+ day delinquency rates vary by loan type. Credit cards and unsecured personal loans are usually highest, ranging from 3% to 6%. Auto loans tend to be lower at around 1% to 2%, while first-lien mortgages are typically below 1%. Secured products generally perform better due to collateral and underwriting standards.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and informative!
test_case_0,What are typical 90+ day delinquency rates for different loan types in the banking industry?,"Typical 90+ day delinquency rates vary by loan type. Credit cards and unsecured personal loans are usually highest, ranging from 3% to 6%. Auto loans tend to be lower at around 1% to 2%, while first-lien mortgages are typically below 1%. Secured products generally perform better due to collateral and underwriting standards.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited issues. The response is balanced and fair."
test_case_1,What is the relationship between payment history length and loan default rates?,Shorter payment histories are strongly associated with higher default rates. Borrowers with less than three months of payment history show significantly higher early-stage delinquency and default likelihood. Longer payment histories indicate repayment behavior stability and lower risk. This relationship is especially pronounced in unsecured lending.,,True,Answer Relevancy,1.0,0.5,True,"The score is 1.00 because the answer was fully relevant, directly addressing the relationship between payment history length and loan default rates without including any irrelevant information. Great job staying focused and concise!"
test_case_1,What is the relationship between payment history length and loan default rates?,Shorter payment histories are strongly associated with higher default rates. Borrowers with less than three months of payment history show significantly higher early-stage delinquency and default likelihood. Longer payment histories indicate repayment behavior stability and lower risk. This relationship is especially pronounced in unsecured lending.,,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias and provides a balanced perspective, as indicated by the absence of any cited issues."
test_case_2,What borrower characteristics are commonly associated with non-performing loans?,"Non-performing loans are commonly associated with low credit scores, high debt-to-income ratios, and prior delinquencies. Borrowers with volatile income or recent credit inquiries also show higher risk. Younger accounts and highly leveraged borrowers are overrepresented. Economic stress amplifies these characteristics.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant statements. Great job staying focused and concise!
test_case_2,What borrower characteristics are commonly associated with non-performing loans?,"Non-performing loans are commonly associated with low credit scores, high debt-to-income ratios, and prior delinquencies. Borrowers with volatile income or recent credit inquiries also show higher risk. Younger accounts and highly leveraged borrowers are overrepresented. Economic stress amplifies these characteristics.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. The response appears balanced and objective."
test_case_3,What are early warning indicators for loan delinquency progression?,"Early warning indicators include rising credit utilization, missed or partial payments, and declining deposit balances. Increased cash advances and reduced discretionary spending payments are also signals. Behavioral changes often appear 30 to 60 days before serious delinquency. Monitoring transaction volatility improves early detection.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_3,What are early warning indicators for loan delinquency progression?,"Early warning indicators include rising credit utilization, missed or partial payments, and declining deposit balances. Increased cash advances and reduced discretionary spending payments are also signals. Behavioral changes often appear 30 to 60 days before serious delinquency. Monitoring transaction volatility improves early detection.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited issues. The response is balanced and objective."
test_case_4,Do loan delinquency rates differ between urban and rural areas?,"Yes, delinquency rates often differ between urban and rural areas. Rural regions may experience higher delinquency due to income volatility and limited employment diversity. Urban areas can show pockets of higher delinquency driven by cost-of-living pressures. Overall differences are influenced by local economic conditions.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_4,Do loan delinquency rates differ between urban and rural areas?,"Yes, delinquency rates often differ between urban and rural areas. Rural regions may experience higher delinquency due to income volatility and limited employment diversity. Urban areas can show pockets of higher delinquency driven by cost-of-living pressures. Overall differences are influenced by local economic conditions.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias and provides a balanced perspective, as indicated by the absence of any cited issues."
test_case_5,What are industry benchmarks for delinquency rates by loan product type?,"Industry benchmarks show mortgages below 1% for 90+ DPD, auto loans around 1% to 2%, and credit cards between 3% and 6%. Personal loans typically fall between 2% and 5%. Benchmarks vary with credit cycle conditions. Unsecured products consistently show higher risk.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_5,What are industry benchmarks for delinquency rates by loan product type?,"Industry benchmarks show mortgages below 1% for 90+ DPD, auto loans around 1% to 2%, and credit cards between 3% and 6%. Personal loans typically fall between 2% and 5%. Benchmarks vary with credit cycle conditions. Unsecured products consistently show higher risk.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
test_case_6,How do delinquency rates compare across different credit score ranges?,Delinquency rates increase sharply as credit scores decline. Borrowers below 600 can experience delinquency rates several times higher than prime borrowers. Prime segments usually maintain low single-digit delinquency. Score segmentation is one of the strongest predictors of default.,,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_6,How do delinquency rates compare across different credit score ranges?,Delinquency rates increase sharply as credit scores decline. Borrowers below 600 can experience delinquency rates several times higher than prime borrowers. Prime segments usually maintain low single-digit delinquency. Score segmentation is one of the strongest predictors of default.,,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited issues. The response is balanced and fair."
test_case_7,What is the typical credit utilization ratio for performing vs non-performing loans?,Performing loans typically show utilization below 40% to 50%. Non-performing loans often exceed 70% utilization prior to delinquency. Rising utilization is a common precursor to missed payments. Sustained high utilization signals financial stress.,,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_7,What is the typical credit utilization ratio for performing vs non-performing loans?,Performing loans typically show utilization below 40% to 50%. Non-performing loans often exceed 70% utilization prior to delinquency. Rising utilization is a common precursor to missed payments. Sustained high utilization signals financial stress.,,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. The response appears balanced and objective."
test_case_8,Do promotional loan offers affect delinquency rates?,"Promotional loan offers can lead to higher delinquency if underwriting is relaxed. Short-term performance is often stable, but delinquency can rise after promotional periods end. Borrowers attracted primarily by incentives may have weaker repayment capacity. Careful targeting mitigates this risk.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_8,Do promotional loan offers affect delinquency rates?,"Promotional loan offers can lead to higher delinquency if underwriting is relaxed. Short-term performance is often stable, but delinquency can rise after promotional periods end. Borrowers attracted primarily by incentives may have weaker repayment capacity. Careful targeting mitigates this risk.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
