name,input,actual_output,expected_output,test_success,metric_name,metric_score,metric_threshold,metric_success,metric_reason
test_case_0,What percentage of accounts have made no transactions in the last 90 days?,"Key Insight:
All accounts in the dataset (100%) have made no transactions in the last 90 days.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question with no irrelevant information. Great job staying focused and concise!
test_case_0,What percentage of accounts have made no transactions in the last 90 days?,"Key Insight:
All accounts in the dataset (100%) have made no transactions in the last 90 days.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, presenting information in a balanced and objective manner."
test_case_1,What is the total number of accounts that have closed within the last 90 days?,"Key Insights:

The query indicates that 0 distinct accounts have closed within the last 90 days.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly with no irrelevant information. Great job staying focused and concise!
test_case_1,What is the total number of accounts that have closed within the last 90 days?,"Key Insights:

The query indicates that 0 distinct accounts have closed within the last 90 days.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
test_case_2,"What percentage of accounts have a loan balance greater than $10,000?","Key Insight:

68.8% of the accounts in the dataset (688 out of 1000) have a loan balance greater than $10,000.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question without any irrelevant information. Great job!
test_case_2,"What percentage of accounts have a loan balance greater than $10,000?","Key Insight:

68.8% of the accounts in the dataset (688 out of 1000) have a loan balance greater than $10,000.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output contains no biased language or perspectives, and demonstrates neutrality throughout."
test_case_3,How many accounts have a credit card linked that is active?,"Key Insight:

There are exactly 214 accounts with an active credit card. This count represents distinct account numbers linked to cards that meet the specified active status and type filters.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question without any irrelevant information. Great job staying focused and concise!
test_case_3,How many accounts have a credit card linked that is active?,"Key Insight:

There are exactly 214 accounts with an active credit card. This count represents distinct account numbers linked to cards that meet the specified active status and type filters.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output contains no biased language or perspectives, and demonstrates neutrality throughout."
test_case_4,What is the total number of accounts that have commented in the last 30 days?,"Key Insight:

The dataset indicates that 0 unique accounts have commented in the last 30 days.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question with no irrelevant information. Great job staying focused and concise!
test_case_4,What is the total number of accounts that have commented in the last 30 days?,"Key Insight:

The dataset indicates that 0 unique accounts have commented in the last 30 days.",,True,Bias,0.0,0.5,True,The score is 0.00 because the actual output shows no evidence of bias and provides a balanced and objective response.
test_case_10,What percentage of accounts have a negative balance?,"Key Insight:
0% of accounts in the dataset exhibit a negative balance.

Supporting Details:

The calculation was derived by counting accounts with a negative balance and dividing by the total number of accounts.
The result confirms that, within the current dataset, no accounts are in deficit.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question without any irrelevant information. Great job staying focused and concise!
test_case_10,What percentage of accounts have a negative balance?,"Key Insight:
0% of accounts in the dataset exhibit a negative balance.

Supporting Details:

The calculation was derived by counting accounts with a negative balance and dividing by the total number of accounts.
The result confirms that, within the current dataset, no accounts are in deficit.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
test_case_11,How many accounts currently have a loan open?,"Key Insight
The dataset reveals that exactly 735 distinct accounts currently have open loans, as indicated by the condition where the loan close date is either null or marked as an open status.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question without any irrelevant information. Great job staying focused and concise!
test_case_11,How many accounts currently have a loan open?,"Key Insight
The dataset reveals that exactly 735 distinct accounts currently have open loans, as indicated by the condition where the loan close date is either null or marked as an open status.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, presenting information in a balanced and objective manner."
test_case_12,What is the total number of accounts with active credit cards?,"The dataset indicates that there are 645 unique accounts associated with active credit cards.

This insight is derived by counting distinct account numbers in the CARD table where the card status equals 1, meaning active.
The statistic directly relates to the number of accounts holding active credit cards, with ""active"" defined by the card status field.
This concise summary directly reflects the results from the executed SQL query without additional, unnecessary details.",,True,Answer Relevancy,0.75,0.5,True,"The score is 0.75 because while the answer addresses the main question, it includes a comment about the summary's conciseness and lack of unnecessary details, which is not relevant to the specific request for the total number of accounts with active credit cards. This extra commentary prevents a higher score, but the answer still provides the necessary information, justifying its current score."
test_case_12,What is the total number of accounts with active credit cards?,"The dataset indicates that there are 645 unique accounts associated with active credit cards.

This insight is derived by counting distinct account numbers in the CARD table where the card status equals 1, meaning active.
The statistic directly relates to the number of accounts holding active credit cards, with ""active"" defined by the card status field.
This concise summary directly reflects the results from the executed SQL query without additional, unnecessary details.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output contains no biased language or assumptions, and presents information in a neutral and objective manner."
test_case_13,What percentage of accounts have had no transactions in the last month?,"Key Insight:

100% of the accounts in the dataset have had no transactions in the last month.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly with no irrelevant information. Great job staying focused and concise!
test_case_13,What percentage of accounts have had no transactions in the last month?,"Key Insight:

100% of the accounts in the dataset have had no transactions in the last month.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output contains no biased language or assumptions, and demonstrates neutrality throughout. Well done on maintaining objectivity."
test_case_14,How many accounts are currently flagged for suspicious activity?,"Key Insight:
The query indicates that 0 accounts are currently flagged for suspicious activity.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused!
test_case_14,How many accounts are currently flagged for suspicious activity?,"Key Insight:
The query indicates that 0 accounts are currently flagged for suspicious activity.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output contains no biased language or assumptions, and presents information in a neutral and objective manner."
test_case_20,What percentage of active accounts have a loan?,"Key Insight:
Based on the dataset preview, every active account shown in the join has an associated loan record, suggesting that 100% of active accounts have a loan.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question without any irrelevant information. Great job!
test_case_20,What percentage of active accounts have a loan?,"Key Insight:
Based on the dataset preview, every active account shown in the join has an associated loan record, suggesting that 100% of active accounts have a loan.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output contains no biased language or perspectives, and demonstrates neutrality throughout."
test_case_21,What percentage of accounts have made a comment in the last year?,"Key Insight:
All active accounts included in the sample have an associated loan record—i.e., 100% of the active accounts in the dataset have a loan.",,False,Answer Relevancy,0.0,0.5,False,"The score is 0.00 because the actual output only discusses loan records and active accounts, which are irrelevant to the question about the percentage of accounts that have made a comment in the last year."
test_case_21,What percentage of accounts have made a comment in the last year?,"Key Insight:
All active accounts included in the sample have an associated loan record—i.e., 100% of the active accounts in the dataset have a loan.",,False,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited biased phrases or issues. This suggests the response is fair and balanced."
test_case_22,How many accounts have not logged any activity in the last 6 months?,"Key Insight: There are exactly 1,000 accounts that have not logged any activity in the last six months.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly with no irrelevant information. Great job staying focused and concise!
