id,persona,kpi,difficulty,prompt
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,"You are a Risk & Credit Analytics Manager; CRO; Compliance Officer as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %.

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
What percentage of loan accounts are delinquent (90+ days past due).

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,"You are a Finance / Treasury Manager; Branch / Regional Manager as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Total Deposit Balance by Geography; Concentration Risk.

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,"You are a Product Manager; Member Analytics Lead as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Early Closure Rate; Account Churn (≤90 days).

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
3,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,"You are a Finance Manager; CRO; Product Manager as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Portfolio Mix %; Credit Card Exposure by Balance.

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,"You are a Member Analytics Lead; Compliance Officer as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Dormant Account Rate; Inactivity Ratio.

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,"You are a Member Analytics Lead; Executive Leadership as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Average Account Tenure; Member Lifetime Value (proxy).

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,"You are a Member Analytics Lead; Product Manager as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Active Account Tenure; Retention Duration.

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
7,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,"You are a Product Manager; Risk Manager as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Monthly Closure Rate; Product Attrition Rate.

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,"You are a Member Analytics Lead; CRO as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Long-Tenure Account %; Dormant vs Active Ratio.

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,"You are a Executive Leadership; CRO as Banking Domain Expert. 
###
Your goal is to improve the following KPI:
Product Mix %; Portfolio Allocation.

### Task
Provide actionable simple difficulty questions to achieve this goal.

#### simple difficulty questions must :
- Single metric or straightforward count, percentage, or ranking
- Minimal filtering and no segmentation
- No time-series analysis or trend comparison
- Answerable with one aggregation or query

### Table join

Fact Table, Foreign Key, Join Type, Join Table, Primary Key,Status
PUBLIC.COMMENT,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.TRACKING, ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.NOTE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.SHARE,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOOKUP,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.LOAN,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.CARD,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept
PUBLIC.MEMBER,	ACCOUNT_NUMBER,	LEFT,	PUBLIC.ACCOUNT,	ACCOUNT_NUMBER,	Accept


Here are some example questions:
What percentage of our loan portfolio is made up of credit cards.

### Output Rules (MANDATORY)
- Output JSON only
- Do NOT include explanations, markdown, or extra text
- Each question must be concise, specific, and clearly tied to the bank domain and the KPI

### Output Schema
{{
  ""questions"": [
    ""string"",
    ""string"",
    ...
  ]
}}

Generate 10 questions directly in JSON format:"
