name,turns,test_success,metric_name,metric_score,metric_threshold,metric_success,metric_reason
conversational_test_case_0,"[TurnApi(role='user', content='What is the average account dormancy rate in US retail banks?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The average account dormancy rate in US retail banks typically ranges between 15% and 25%. Dormant accounts are usually defined as having no customer-initiated activity for 6 to 12 months. Rates vary by institution, customer demographics, and digital engagement levels. Banks with strong mobile adoption generally report lower dormancy.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Focus [Conversational GEval],1.0,0.5,True,"The assistant directly answers the user's question about the average account dormancy rate in US retail banks, providing a specific range and relevant context. The roles are correctly aligned, with the user asking a question and the assistant providing a clear, informative response. All evaluation steps are fully met."
conversational_test_case_0,"[TurnApi(role='user', content='What is the average account dormancy rate in US retail banks?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The average account dormancy rate in US retail banks typically ranges between 15% and 25%. Dormant accounts are usually defined as having no customer-initiated activity for 6 to 12 months. Rates vary by institution, customer demographics, and digital engagement levels. Banks with strong mobile adoption generally report lower dormancy.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Helpful [Conversational GEval],1.0,0.5,True,"The assistant directly addresses the user's query about the average account dormancy rate in US retail banks by providing a specific range (15%-25%), defining dormancy, and offering relevant context about factors influencing rates. The response is clear, relevant, and provides meaningful information, fully meeting the evaluation criteria."
conversational_test_case_0,"[TurnApi(role='user', content='What is the average account dormancy rate in US retail banks?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The average account dormancy rate in US retail banks typically ranges between 15% and 25%. Dormant accounts are usually defined as having no customer-initiated activity for 6 to 12 months. Rates vary by institution, customer demographics, and digital engagement levels. Banks with strong mobile adoption generally report lower dormancy.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Voice [Conversational GEval],1.0,0.5,True,"The user asks a clear question, and the assistant responds directly with specific figures and definitions, using active voice throughout. The assistant avoids passive constructions and addresses all aspects of the user's query. Clarity and active language are maintained in both turns."
conversational_test_case_0,"[TurnApi(role='user', content='What is the average account dormancy rate in US retail banks?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The average account dormancy rate in US retail banks typically ranges between 15% and 25%. Dormant accounts are usually defined as having no customer-initiated activity for 6 to 12 months. Rates vary by institution, customer demographics, and digital engagement levels. Banks with strong mobile adoption generally report lower dormancy.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Engagement [Conversational GEval],1.0,0.5,True,"The user asks a clear, relevant question using appropriate language. The assistant responds professionally, providing a precise answer with context and additional details, maintaining an informative and engaging tone. Both roles are reflected accurately, and the language is consistent and suitable throughout the conversation."
conversational_test_case_0,"[TurnApi(role='user', content='What is the average account dormancy rate in US retail banks?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The average account dormancy rate in US retail banks typically ranges between 15% and 25%. Dormant accounts are usually defined as having no customer-initiated activity for 6 to 12 months. Rates vary by institution, customer demographics, and digital engagement levels. Banks with strong mobile adoption generally report lower dormancy.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Conversation Completeness,1.0,0.5,True,"The score is 1.0 because the LLM response fully addressed the user's intention to know the average account dormancy rate in US retail banks, with no incompletenesses identified."
conversational_test_case_1,"[TurnApi(role='user', content='What is the typical annual account closure rate for credit unions?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The typical annual account closure rate for credit unions is around 5% to 10%. Credit unions generally experience lower churn than large retail banks due to relationship-based models. Closure rates tend to increase during periods of economic stress or product repricing. Younger and low-balance members contribute disproportionately to closures.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Focus [Conversational GEval],1.0,0.5,True,"The assistant directly answers the user's question about the typical annual account closure rate for credit unions, providing a specific percentage range and relevant context. The roles are correctly aligned, with the user asking a question and the assistant providing an informative response. All evaluation steps are fully met."
conversational_test_case_1,"[TurnApi(role='user', content='What is the typical annual account closure rate for credit unions?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The typical annual account closure rate for credit unions is around 5% to 10%. Credit unions generally experience lower churn than large retail banks due to relationship-based models. Closure rates tend to increase during periods of economic stress or product repricing. Younger and low-balance members contribute disproportionately to closures.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Helpful [Conversational GEval],1.0,0.5,True,"The assistant directly answers the user's question by providing a typical annual account closure rate for credit unions, adds relevant context about why the rate is lower than banks, and mentions factors that influence closure rates. The response is clear, relevant, and provides meaningful help, fully meeting the evaluation criteria."
conversational_test_case_1,"[TurnApi(role='user', content='What is the typical annual account closure rate for credit unions?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The typical annual account closure rate for credit unions is around 5% to 10%. Credit unions generally experience lower churn than large retail banks due to relationship-based models. Closure rates tend to increase during periods of economic stress or product repricing. Younger and low-balance members contribute disproportionately to closures.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Voice [Conversational GEval],1.0,0.5,True,"The assistant responds directly and clearly to the user's question, using active voice and unambiguous language. Each point is stated plainly, with no passive constructions. The user's input is fully understood and addressed. Clarity and active voice are maintained throughout the conversation."
conversational_test_case_1,"[TurnApi(role='user', content='What is the typical annual account closure rate for credit unions?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The typical annual account closure rate for credit unions is around 5% to 10%. Credit unions generally experience lower churn than large retail banks due to relationship-based models. Closure rates tend to increase during periods of economic stress or product repricing. Younger and low-balance members contribute disproportionately to closures.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Engagement [Conversational GEval],1.0,0.5,True,"The user asks a clear, relevant question using appropriate language. The assistant responds professionally, providing a direct answer with additional context and maintaining an informative, engaging tone. Both roles are reflected accurately, and the language is consistent and suitable throughout the conversation."
conversational_test_case_1,"[TurnApi(role='user', content='What is the typical annual account closure rate for credit unions?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='The typical annual account closure rate for credit unions is around 5% to 10%. Credit unions generally experience lower churn than large retail banks due to relationship-based models. Closure rates tend to increase during periods of economic stress or product repricing. Younger and low-balance members contribute disproportionately to closures.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Conversation Completeness,1.0,0.5,True,"The score is 1.0 because the LLM response fully addressed the user's intention to know the typical annual account closure rate for credit unions, with no missing information or gaps indicated."
conversational_test_case_0,"[TurnApi(role='user', content='What percentage of US households have personal loans exceeding $10000?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Approximately 10% to 15% of US households have personal loan balances exceeding $10,000. This is more common among middle-income households consolidating debt or financing large expenses. Personal loans above this threshold are often associated with higher credit scores. The share has grown modestly with fintech lending expansion.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Focus [Conversational GEval],0.9731058572770511,0.5,True,"The assistant directly answers the user's question about the percentage of US households with personal loans exceeding $10,000, providing a specific estimate (10% to 15%) and relevant context. The roles are correctly aligned, with the user asking a question and the assistant providing an informative, relevant response. All evaluation steps are fully met."
conversational_test_case_0,"[TurnApi(role='user', content='What percentage of US households have personal loans exceeding $10000?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Approximately 10% to 15% of US households have personal loan balances exceeding $10,000. This is more common among middle-income households consolidating debt or financing large expenses. Personal loans above this threshold are often associated with higher credit scores. The share has grown modestly with fintech lending expansion.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Helpful [Conversational GEval],0.8985936371187597,0.5,True,"The assistant directly addresses the user's question by providing an estimated percentage range (10% to 15%) of US households with personal loans exceeding $10,000. The response is clear, relevant, and includes additional context about demographics and trends, enhancing its helpfulness. However, the answer would be slightly improved by citing a source or clarifying the data's recency, which prevents a perfect score."
conversational_test_case_0,"[TurnApi(role='user', content='What percentage of US households have personal loans exceeding $10000?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Approximately 10% to 15% of US households have personal loan balances exceeding $10,000. This is more common among middle-income households consolidating debt or financing large expenses. Personal loans above this threshold are often associated with higher credit scores. The share has grown modestly with fintech lending expansion.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Voice [Conversational GEval],0.9924141824157262,0.5,True,"The assistant responds directly and unambiguously to the user's question, using clear and active voice throughout. The user's input is clearly understood and fully addressed. No passive constructions are present, and clarity is maintained in both turns."
conversational_test_case_0,"[TurnApi(role='user', content='What percentage of US households have personal loans exceeding $10000?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Approximately 10% to 15% of US households have personal loan balances exceeding $10,000. This is more common among middle-income households consolidating debt or financing large expenses. Personal loans above this threshold are often associated with higher credit scores. The share has grown modestly with fintech lending expansion.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Engagement [Conversational GEval],1.0,0.5,True,"The user asks a clear, relevant question using appropriate language. The assistant responds professionally and helpfully, providing a direct answer with additional context. Both roles are reflected correctly, the language is suitable and engaging, and the flow is maintained throughout the conversation."
conversational_test_case_0,"[TurnApi(role='user', content='What percentage of US households have personal loans exceeding $10000?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Approximately 10% to 15% of US households have personal loan balances exceeding $10,000. This is more common among middle-income households consolidating debt or financing large expenses. Personal loans above this threshold are often associated with higher credit scores. The share has grown modestly with fintech lending expansion.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Conversation Completeness,1.0,0.5,True,"The score is 1.0 because the LLM response fully addressed the user's intention by providing the requested information about the percentage of US households with personal loans exceeding $10,000, with no noted omissions or gaps."
conversational_test_case_1,"[TurnApi(role='user', content='What percentage of US adults have an active credit card?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Roughly 70% to 75% of US adults have at least one active credit card. Active usage is higher among prime and super-prime credit segments. Credit card penetration is lower among younger adults and lower-income households. Most cardholders maintain more than one active card.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Focus [Conversational GEval],1.0,0.5,True,"The assistant directly answers the user's question about the percentage of US adults with an active credit card, providing a clear estimate and relevant context. The roles are correctly maintained, with the user asking and the assistant responding appropriately. All evaluation steps are fully met."
conversational_test_case_1,"[TurnApi(role='user', content='What percentage of US adults have an active credit card?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Roughly 70% to 75% of US adults have at least one active credit card. Active usage is higher among prime and super-prime credit segments. Credit card penetration is lower among younger adults and lower-income households. Most cardholders maintain more than one active card.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Helpful [Conversational GEval],0.9014063627030332,0.5,True,"The assistant directly answers the user's question by providing a specific percentage range of US adults with active credit cards, which is clear and relevant. It adds helpful context about demographic differences and card ownership patterns, enhancing the response. However, the assistant could have cited a source or clarified the data's recency for full completeness."
conversational_test_case_1,"[TurnApi(role='user', content='What percentage of US adults have an active credit card?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Roughly 70% to 75% of US adults have at least one active credit card. Active usage is higher among prime and super-prime credit segments. Credit card penetration is lower among younger adults and lower-income households. Most cardholders maintain more than one active card.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Voice [Conversational GEval],0.9182425526028813,0.5,True,"The assistant responds directly and clearly to the user's question, using active voice and unambiguous language. The reply addresses the user's query about the percentage of US adults with active credit cards and provides additional relevant context. Both turns are clear, and the assistant avoids passive constructions. There is a minor lack of specificity in the percentage range, but overall, the conversation maintains clarity and active voice throughout."
conversational_test_case_1,"[TurnApi(role='user', content='What percentage of US adults have an active credit card?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Roughly 70% to 75% of US adults have at least one active credit card. Active usage is higher among prime and super-prime credit segments. Credit card penetration is lower among younger adults and lower-income households. Most cardholders maintain more than one active card.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Engagement [Conversational GEval],1.0,0.5,True,"The user asks a clear, relevant question using appropriate language. The assistant responds professionally, providing a direct answer with additional context, maintaining an informative and engaging tone. Both roles are reflected correctly, and the language is consistent and suitable throughout the conversation."
conversational_test_case_1,"[TurnApi(role='user', content='What percentage of US adults have an active credit card?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Roughly 70% to 75% of US adults have at least one active credit card. Active usage is higher among prime and super-prime credit segments. Credit card penetration is lower among younger adults and lower-income households. Most cardholders maintain more than one active card.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Conversation Completeness,1.0,0.5,True,"The score is 1.0 because the LLM response fully addressed the user's intention to know the percentage of US adults with an active credit card, with no incompletenesses identified."
conversational_test_case_0,"[TurnApi(role='user', content='What is the average customer engagement rate for banking mobile apps?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Average monthly engagement rates for banking mobile apps are typically between 55% and 65%. Engagement is measured by active users performing at least one session per month. Large banks with feature-rich apps often exceed this range. Digital-only banks tend to show even higher engagement.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Focus [Conversational GEval],1.0,0.5,True,"The assistant directly answers the user's question about average customer engagement rates for banking mobile apps, providing specific percentages, definitions, and additional context. The roles are correctly aligned, with the user asking a question and the assistant providing a relevant, high-quality response that fully addresses the user's query."
conversational_test_case_0,"[TurnApi(role='user', content='What is the average customer engagement rate for banking mobile apps?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Average monthly engagement rates for banking mobile apps are typically between 55% and 65%. Engagement is measured by active users performing at least one session per month. Large banks with feature-rich apps often exceed this range. Digital-only banks tend to show even higher engagement.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Helpful [Conversational GEval],1.0,0.5,True,"The assistant directly answers the user's question by providing a specific average engagement rate range for banking mobile apps, explains how engagement is measured, and adds relevant context about variations among different types of banks. The response is clear, relevant, and fully addresses the user's query, fulfilling all evaluation steps."
conversational_test_case_0,"[TurnApi(role='user', content='What is the average customer engagement rate for banking mobile apps?', order=0, user_id=None, retrieval_context=['user persona: Product Manager; Member Analytics Lead', 'KPI: Early Closure Rate; Account Churn'], tools_called=None, additional_metadata=None, comments=None), TurnApi(role='assistant', content='Average monthly engagement rates for banking mobile apps are typically between 55% and 65%. Engagement is measured by active users performing at least one session per month. Large banks with feature-rich apps often exceed this range. Digital-only banks tend to show even higher engagement.', order=1, user_id=None, retrieval_context=None, tools_called=None, additional_metadata=None, comments=None)]",True,Voice [Conversational GEval],1.0,0.5,True,"The assistant's response is clear, direct, and uses active voice throughout. It addresses the user's question unambiguously, explains how engagement is measured, and provides relevant context. Both turns maintain clarity and active language, fully meeting all evaluation criteria."
