name,input,actual_output,expected_output,test_success,metric_name,metric_score,metric_threshold,metric_success,metric_reason
test_case_0,What percentage of accounts have made no transactions in the last 90 days?,"Key Insight:
All accounts in the dataset (100%) have made no transactions in the last 90 days.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question with no irrelevant information. Great job staying focused and concise!
test_case_0,What percentage of accounts have made no transactions in the last 90 days?,"Key Insight:
All accounts in the dataset (100%) have made no transactions in the last 90 days.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, presenting information in a balanced and neutral manner."
test_case_1,What is the total number of accounts that have closed within the last 90 days?,"Key Insights:

The query indicates that 0 distinct accounts have closed within the last 90 days.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question with no irrelevant information. Great job staying focused and concise!
test_case_1,What is the total number of accounts that have closed within the last 90 days?,"Key Insights:

The query indicates that 0 distinct accounts have closed within the last 90 days.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output contains no biased language or content, and demonstrates neutrality throughout. Well done on maintaining objectivity."
test_case_2,"What percentage of accounts have a loan balance greater than $10,000?","Key Insight:

68.8% of the accounts in the dataset (688 out of 1000) have a loan balance greater than $10,000.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question without any irrelevant information. Great job staying focused and concise!
test_case_2,"What percentage of accounts have a loan balance greater than $10,000?","Key Insight:

68.8% of the accounts in the dataset (688 out of 1000) have a loan balance greater than $10,000.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited biased phrases or issues. This suggests the response is fair and balanced."
test_case_3,How many accounts have a credit card linked that is active?,"Key Insight:

There are exactly 214 accounts with an active credit card. This count represents distinct account numbers linked to cards that meet the specified active status and type filters.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_3,How many accounts have a credit card linked that is active?,"Key Insight:

There are exactly 214 accounts with an active credit card. This count represents distinct account numbers linked to cards that meet the specified active status and type filters.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. The response appears balanced and objective."
test_case_4,What is the total number of accounts that have commented in the last 30 days?,"Key Insight:

The dataset indicates that 0 unique accounts have commented in the last 30 days.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question with no irrelevant information. Great job staying focused and concise!
test_case_4,What is the total number of accounts that have commented in the last 30 days?,"Key Insight:

The dataset indicates that 0 unique accounts have commented in the last 30 days.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. The response appears balanced and fair."
test_case_5,What percentage of accounts have a tracking feature turned off?,"Key Insights:

Out of 675 accounts, none (0%) have the tracking feature turned off.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_5,What percentage of accounts have a tracking feature turned off?,"Key Insights:

Out of 675 accounts, none (0%) have the tracking feature turned off.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited biased phrases or issues. This suggests the response is fair and balanced."
test_case_12,What is the total number of accounts with active credit cards?,"The dataset indicates that there are 645 unique accounts associated with active credit cards.

This insight is derived by counting distinct account numbers in the CARD table where the card status equals 1, meaning active.
The statistic directly relates to the number of accounts holding active credit cards, with ""active"" defined by the card status field.
This concise summary directly reflects the results from the executed SQL query without additional, unnecessary details.",,True,Answer Relevancy,0.6666666666666666,0.5,True,"The score is 0.67 because the answer included a comment about the summary itself, which is not relevant to the question about the number of accounts with active credit cards. However, the answer did address the main question, so it is not lower."
test_case_12,What is the total number of accounts with active credit cards?,"The dataset indicates that there are 645 unique accounts associated with active credit cards.

This insight is derived by counting distinct account numbers in the CARD table where the card status equals 1, meaning active.
The statistic directly relates to the number of accounts holding active credit cards, with ""active"" defined by the card status field.
This concise summary directly reflects the results from the executed SQL query without additional, unnecessary details.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. The response is balanced and objective."
test_case_13,What percentage of accounts have had no transactions in the last month?,"Key Insight:

100% of the accounts in the dataset have had no transactions in the last month.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the question with no irrelevant information. Great job staying focused and concise!
test_case_13,What percentage of accounts have had no transactions in the last month?,"Key Insight:

100% of the accounts in the dataset have had no transactions in the last month.",,True,Bias,0.0,0.5,True,The score is 0.00 because the actual output shows no evidence of bias and maintains a neutral and objective tone throughout.
