id,persona,kpi,difficulty,synthetic_questions,word_count,type_token_ratio,stopword_ratio
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What is the percentage of performing loans out of all loans?,11,0.9090909090909091,0.6363636363636364
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What is the total value of loans that are 90 days or more past due?,15,1.0,0.5333333333333333
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,What is the total deposit balance for each geography?,9,1.0,0.5555555555555556
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,What is the total number of accounts with deposits in each geography?,12,1.0,0.5833333333333334
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,What percentage of all accounts are inactive in PUBLIC.ACCOUNT?,9,1.0,0.5555555555555556
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,What is the count of accounts that have had no transactions recorded in PUBLIC.TRACKING?,14,1.0,0.6428571428571429
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,What percentage of accounts in PUBLIC.ACCOUNT have not been referenced in PUBLIC.NOTE?,12,0.9166666666666666,0.5833333333333334
4,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,How many accounts in PUBLIC.ACCOUNT do not have any related loans in PUBLIC.LOAN?,13,0.9230769230769231,0.5384615384615384
5,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,"What is the count of accounts with no loan, card, or share associated?",13,1.0,0.5384615384615384
6,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,simple,What is the count of accounts that have at least one tracking record?,13,1.0,0.5384615384615384
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What is the ratio of dormant to active accounts in PUBLIC.ACCOUNT?,11,1.0,0.5454545454545454
8,Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,simple,What is the count of accounts with no recent activity in PUBLIC.TRACKING?,12,1.0,0.5833333333333334
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What is the count of accounts with only one product type?,11,1.0,0.5454545454545454
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,What percentage of the portfolio is allocated to mortgages?,9,1.0,0.5555555555555556
9,Executive Leadership; CRO,Product Mix %; Portfolio Allocation,simple,How many accounts have only a credit card and no other product?,12,1.0,0.5833333333333334
11,Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk,simple,What is the sum of all loan balances held by a single customer with the highest exposure?,17,0.9411764705882353,0.5294117647058824
15,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,medium,"For each region, what is the ratio of deposits in the largest branch to the total regional deposit balance?",19,0.8947368421052632,0.5263157894736842
20,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,medium,How does tenure vary between members who have at least one comment in the past year and those who do not?,21,0.9523809523809523,0.5714285714285714
