name,input,actual_output,expected_output,test_success,metric_name,metric_score,metric_threshold,metric_success,metric_reason
test_case_0,What is the average total deposit balance by geography for accounts opened in the last year?,"Key Insights:

The calculated average minimum balance for accounts opened between 2024-12-18 and 2025-12-18 is 611.34.
No explicit geography grouping was applied in the query, so this average reflects the overall dataset for the specified account opening period.",,True,Answer Relevancy,0.6666666666666666,0.5,True,"The score is 0.67 because the answer discusses the average minimum balance instead of the average total deposit balance, and it does not address the geographic aspect requested in the input. However, it is somewhat relevant as it still relates to account balances for recently opened accounts."
test_case_0,What is the average total deposit balance by geography for accounts opened in the last year?,"Key Insights:

The calculated average minimum balance for accounts opened between 2024-12-18 and 2025-12-18 is 611.34.
No explicit geography grouping was applied in the query, so this average reflects the overall dataset for the specified account opening period.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
test_case_1,"Which geographical region has the highest concentration of accounts with balances over $10,000?","Great question but unfortunately no data points were found to generate an answer for you. Consider adjusting your query to change one or more parameters, such as time or other filters.
",,False,Answer Relevancy,0.0,0.5,False,"The score is 0.00 because none of the statements in the output addressed the question about which geographical region has the highest concentration of accounts with balances over $10,000; instead, the output only discussed data availability and suggestions unrelated to the actual question."
test_case_1,"Which geographical region has the highest concentration of accounts with balances over $10,000?","Great question but unfortunately no data points were found to generate an answer for you. Consider adjusting your query to change one or more parameters, such as time or other filters.
",,False,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, presenting information in a balanced and objective manner."
test_case_2,What is the total deposit balance for the top 5 customer segments by account number in each region?,"High-Impact Findings

The total deposit balance for the top 5 records by account number is 1,381.",,True,Answer Relevancy,0.5,0.5,True,"The score is 0.50 because the answer included a vague statement about 'high-impact findings' that did not address the specific question about deposit balances or customer segments, reducing its relevance. However, it may have contained some partial or related information, which is why it is not scored lower."
test_case_2,What is the total deposit balance for the top 5 customer segments by account number in each region?,"High-Impact Findings

The total deposit balance for the top 5 records by account number is 1,381.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, presenting information in a balanced and objective manner."
test_case_3,How many accounts in the last 6 months have deposits concentrated in only one geographical area?,"Key Insight:
No accounts in the last 6 months have deposits concentrated in only one geographical area, with the count being exactly 0.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the input directly without any irrelevant statements. Great job staying focused and concise!
test_case_3,How many accounts in the last 6 months have deposits concentrated in only one geographical area?,"Key Insight:
No accounts in the last 6 months have deposits concentrated in only one geographical area, with the count being exactly 0.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
test_case_4,What percentage of accounts with no recent activity (last 90 days) are located in the top 3 geographies by total balance?,"Key Insights

Out of 1,000 accounts with no recent activity in the past 90 days, only 51 accounts (5.1%) are located in the top 3 geographies ranked by total balance.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the input question directly with no irrelevant statements. Great job!
test_case_4,What percentage of accounts with no recent activity (last 90 days) are located in the top 3 geographies by total balance?,"Key Insights

Out of 1,000 accounts with no recent activity in the past 90 days, only 51 accounts (5.1%) are located in the top 3 geographies ranked by total balance.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited biased phrases or concerns. This suggests the response is fair and balanced."
test_case_5,Which 5 zip codes show the highest growth in total deposit balance over the past year?,"High-Impact Findings:
The data shows one zip code (with an empty value) achieving a total deposit balance growth of 475,382, while another (also with an empty zip code) experienced a decline of 506,519 in deposit balances.",,True,Answer Relevancy,0.5,0.5,True,"The score is 0.50 because the answer included information about a zip code with declining deposit balances, which is not relevant to identifying the zip codes with the highest growth. However, it did address the main question to some extent, so it is not lower."
test_case_5,Which 5 zip codes show the highest growth in total deposit balance over the past year?,"High-Impact Findings:
The data shows one zip code (with an empty value) achieving a total deposit balance growth of 475,382, while another (also with an empty zip code) experienced a decline of 506,519 in deposit balances.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias and provides a balanced perspective, as indicated by the absence of any cited issues."
test_case_6,What is the ratio of total deposits to total number of accounts by region?,"Key Insight:
All regions (branches) have a deposit-to-account ratio of 0, meaning the total deposits are 0 across every branch despite a varying number of accounts.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_6,What is the ratio of total deposits to total number of accounts by region?,"Key Insight:
All regions (branches) have a deposit-to-account ratio of 0, meaning the total deposits are 0 across every branch despite a varying number of accounts.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, presenting information in a neutral and objective manner without any slanted language or unfair assumptions."
test_case_7,How many deposit accounts are shared among the top 5 member groups in each geographical area?,"Key Insights

Each geographical area (branch) contributes the deposit accounts from its top 5 member groups. In most branches, each of the top 5 groups holds exactly 1 deposit account, so the overall shared deposit account total per branch is typically 5.
Some branches deviate from the norm. For example, on branch 2 the top five groups collectively hold 2, 1, 1, 1, and 1 deposit accounts respectively—totaling 6 accounts. Likewise, branch 40 notably shows counts of 3, 2, 2, 2, and 2 deposit accounts among its top 5 member groups, which sums up to 11 accounts.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and directly addressed the input question without any irrelevant statements. Great job staying focused and concise!
test_case_7,How many deposit accounts are shared among the top 5 member groups in each geographical area?,"Key Insights

Each geographical area (branch) contributes the deposit accounts from its top 5 member groups. In most branches, each of the top 5 groups holds exactly 1 deposit account, so the overall shared deposit account total per branch is typically 5.
Some branches deviate from the norm. For example, on branch 2 the top five groups collectively hold 2, 1, 1, 1, and 1 deposit accounts respectively—totaling 6 accounts. Likewise, branch 40 notably shows counts of 3, 2, 2, 2, and 2 deposit accounts among its top 5 member groups, which sums up to 11 accounts.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any reasons for bias. This suggests the response is fair and balanced."
test_case_8,Which geographical area has the highest average account balance among long-term account holders (5+ years)?,"The data indicates that branch 3 has the highest average account balance, with an average balance of 22,178.5 among account holders with 5 or more years of account history.

This result is derived from accounts that have been active for at least 5 years.
The average value was computed after cleaning and converting balance values, ensuring accuracy in the financial metric.",,True,Answer Relevancy,0.8,0.5,True,"The score is 0.80 because the answer provides relevant information about average account balances, but it is too general and does not specifically address long-term account holders as requested. To achieve a higher score, the answer should have directly referenced the group of long-term account holders."
test_case_8,Which geographical area has the highest average account balance among long-term account holders (5+ years)?,"The data indicates that branch 3 has the highest average account balance, with an average balance of 22,178.5 among account holders with 5 or more years of account history.

This result is derived from accounts that have been active for at least 5 years.
The average value was computed after cleaning and converting balance values, ensuring accuracy in the financial metric.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited biased phrases or issues. This suggests the response is fair and balanced."
test_case_9,What percentage of accounts in each geography have balances less than $500?,"Below is a concise, fact-based summary of the query results and observable patterns regarding the percentage of accounts with balances less than $500 by geography:

Key Insight:
The query was designed to compute a percentage of accounts per branch (geography) with balances below $500. However, in the previewed results, the columns for both the count of accounts with balances under $500 and the computed percentage are empty for every branch. This suggests that none of the sample records met the condition, or the values were not populated in the dataset extract.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_9,What percentage of accounts in each geography have balances less than $500?,"Below is a concise, fact-based summary of the query results and observable patterns regarding the percentage of accounts with balances less than $500 by geography:

Key Insight:
The query was designed to compute a percentage of accounts per branch (geography) with balances below $500. However, in the previewed results, the columns for both the count of accounts with balances under $500 and the computed percentage are empty for every branch. This suggests that none of the sample records met the condition, or the values were not populated in the dataset extract.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited biased phrases or issues. This suggests the response is fair and balanced."
test_case_10,What is the average credit card balance per account in the top 5 states by total account balance?,"Key Insight:
The dataset shows that for the top 5 states by total account balance, the only returned state (labeled ""0"") has an average credit card balance of $12,426.40 per account.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
