original_question,persona,kpi,difficulty,mapped_question,error,word_count
"For accounts that became dormant in the last year but were previously active for >3 years, identify behavioral changes in transaction frequency, product usage, or member engagement during the 6 months prior to inactivity.",Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,hard,,,1
What is the total number of active accounts?,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,,,1
What is the total number of dormant accounts in PUBLIC.ACCOUNT?,Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,simple,,,1
What is the count of accounts with zero credit card balance?,Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,simple,,,1
"Segment accounts by customer type (retail, SME, corporate) and identify which segments have shown unusual increases in transfer limit exposure over the last 3 months compared to historical baseline.",Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,hard,,,1
What percentage of accounts closed within 90 days had at least one loan attempt recorded in the LOAN table during that time period?,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),medium,,,1
Analyze the concentration of transfer limit exposure among the top 1% of accounts and assess the impact on overall operational risk if these accounts were to breach their limits in the next quarter.,Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator,hard,,,1
What percentage of member accounts have at least one loan?,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),simple,,,1
Identify regions where the ratio of non-retail (commercial/institutional) deposits to total deposits has increased significantly; does this correspond to any early-warning signals in withdrawal tracking?,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,hard,,,1
What is the monthly closure rate for accounts with at least one loan disbursement versus accounts without loan products in the past year?,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,medium,,,1
What is the count of accounts with zero balance at month end?,Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate,simple,,,1
"What proportion of 90+ DPD accounts have multiple negative indicators (e.g., adverse PUBLIC.COMMENT notes, high utilization, frequent PUBLIC.NOTE entries) in the 6 months leading up to delinquency, and how does this risk stack by product?",Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,,,1
"Examine the early-warning signals (e.g., decrease in account tracking activity, missed loan payments, card non-usage) for accounts aged >7 years that became dormant within the past 12 months. Which signals most strongly predict inactivity?",Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio,hard,,,1
What is the average tenure of accounts where at least one card is linked versus accounts without any cards?,Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy),medium,,,1
"For accounts with both card and loan products, is there a correlation between loan delinquency rates and subsequent abnormal withdrawal patterns by geography?",Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,hard,,,1
"Are there clusters of accounts (by branch, geography, or product bundle) where the dormancy rate spike correlates with recent negative events, such as increased public complaints or negative PUBLIC.COMMENTs?",Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio,hard,,,1
"Across all distinct product mixes, which combinations show the highest time-to-delinquency for credit card balances exceeding 80% of available limit, and how has this risk profile evolved for new vs. seasoned accounts?",Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance,hard,,,1
How does average account tenure differ between accounts with at least one note added and those without?,Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration,medium,,,1
