id,persona,kpi,difficulty,synthetic_questions
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What is the total number of loan accounts currently 90 or more days past due?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What percentage of all loans are classified as non-performing loans?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,How many accounts have any delinquent balance recorded?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What is the delinquency ratio for all active loans?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,How many card accounts are 90+ days past due?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What is the count of loans marked as non-performing in PUBLIC.LOAN?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What proportion of all active accounts are currently in 90+ day delinquency status?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,How many MEMBER records are linked to non-performing loans?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What is the current total outstanding balance for loans 90+ days past due?
0,Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,simple,What is the percentage of accounts with at least one tracking record indicating 90+ day delinquency?
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,What is the total deposit balance for each branch?
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,Which geography has the highest total deposit balance?
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,"How many accounts have deposit balances above $500,000?"
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,What is the largest single deposit balance held in any account?
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,How many deposit accounts exist in each region?
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,What percentage of total deposits is concentrated in the top 5 accounts?
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,How many accounts in the region hold more than 20% of the total deposit balance?
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,"Which branch has the most accounts with balances above $100,000?"
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,What is the total number of accounts with zero deposit balance?
1,Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk,simple,What is the sum of deposit balances for accounts classified as high-value?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What is the total number of accounts closed within 90 days?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,What percentage of all accounts are closed within 90 days?
2,Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days),simple,How many accounts have been opened in the last 90 days?
