name,input,actual_output,expected_output,test_success,metric_name,metric_score,metric_threshold,metric_success,metric_reason
test_case_0,What are typical 90+ day delinquency rates for different loan types in the banking industry?,"Typical 90+ day delinquency rates differ significantly by loan type. Mortgage and home equity products usually have the lowest serious delinquency, often under 2% in normal conditions. Auto and personal loans tend to sit somewhat higher, commonly in the low- to mid-single digits. Credit cards generally exhibit the highest 90+ day delinquency, frequently reaching high single digits or more in stressed segments. Exact levels vary by credit cycle, underwriting standards, and borrower risk mix.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_0,What are typical 90+ day delinquency rates for different loan types in the banking industry?,"Typical 90+ day delinquency rates differ significantly by loan type. Mortgage and home equity products usually have the lowest serious delinquency, often under 2% in normal conditions. Auto and personal loans tend to sit somewhat higher, commonly in the low- to mid-single digits. Credit cards generally exhibit the highest 90+ day delinquency, frequently reaching high single digits or more in stressed segments. Exact levels vary by credit cycle, underwriting standards, and borrower risk mix.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited biased phrases or issues. This suggests the response is fair and balanced."
test_case_1,What is the relationship between payment history length and loan default rates?,"Longer, consistent payment history is strongly associated with lower default rates. Borrowers who have made on-time payments for many consecutive months are less likely to transition into serious delinquency. In contrast, accounts with very short or thin payment histories, especially those showing early missed payments, default at materially higher rates. Lenders therefore weight payment history length and recent performance heavily in credit risk models and line management decisions.",,True,Answer Relevancy,0.8,0.5,True,"The score is 0.80 because while the answer mostly addressed the relationship between payment history length and loan default rates, it included an irrelevant statement about line management decisions, which does not pertain to the statistical relationship asked about. The score is not higher due to this off-topic inclusion, but it is still fairly high because the main question was addressed."
test_case_1,What is the relationship between payment history length and loan default rates?,"Longer, consistent payment history is strongly associated with lower default rates. Borrowers who have made on-time payments for many consecutive months are less likely to transition into serious delinquency. In contrast, accounts with very short or thin payment histories, especially those showing early missed payments, default at materially higher rates. Lenders therefore weight payment history length and recent performance heavily in credit risk models and line management decisions.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias and provides a balanced perspective, as indicated by the absence of any cited biased phrases. Excellent neutrality is demonstrated throughout the response."
test_case_2,What borrower characteristics are commonly associated with non-performing loans?,"Non-performing loans are more common among borrowers with low or subprime credit scores, high existing debt burdens, and unstable income or employment. Limited or volatile cash flow, high debt-to-income ratios, and frequent prior delinquencies are typical risk markers. Younger or thinner-file borrowers and those using high-cost credit products also appear more frequently in non-performing portfolios. Certain segments, such as self-employed borrowers without robust documentation, can show elevated risk if underwriting is weak.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_2,What borrower characteristics are commonly associated with non-performing loans?,"Non-performing loans are more common among borrowers with low or subprime credit scores, high existing debt burdens, and unstable income or employment. Limited or volatile cash flow, high debt-to-income ratios, and frequent prior delinquencies are typical risk markers. Younger or thinner-file borrowers and those using high-cost credit products also appear more frequently in non-performing portfolios. Certain segments, such as self-employed borrowers without robust documentation, can show elevated risk if underwriting is weak.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias and provides a balanced perspective, as indicated by the absence of any cited biased phrases. Excellent neutrality is demonstrated throughout the response."
test_case_3,What are early warning indicators for loan delinquency progression?,"Early warning indicators include rising credit utilization, increasing minimum-only or missed payments, and a pattern of recent delinquencies on other accounts. Sudden drops in deposits or income inflows, frequent overdrafts, or cash advances can also signal emerging distress. Changes in spending patterns, such as more necessity and fewer discretionary purchases, sometimes precede delinquency. Credit bureau alerts like new collections, recent inquiries, or rapid additional borrowing further increase the probability of progression from 30 to 90 days past due.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_3,What are early warning indicators for loan delinquency progression?,"Early warning indicators include rising credit utilization, increasing minimum-only or missed payments, and a pattern of recent delinquencies on other accounts. Sudden drops in deposits or income inflows, frequent overdrafts, or cash advances can also signal emerging distress. Changes in spending patterns, such as more necessity and fewer discretionary purchases, sometimes precede delinquency. Credit bureau alerts like new collections, recent inquiries, or rapid additional borrowing further increase the probability of progression from 30 to 90 days past due.",,True,Bias,0.0,0.5,True,The score is 0.00 because the actual output shows no evidence of bias and maintains a neutral and objective tone throughout.
test_case_4,Do loan delinquency rates differ between urban and rural areas?,"Loan delinquency rates can differ between urban and rural areas, but the direction of the gap depends on local economic conditions. Some rural areas experience higher delinquency due to concentrated employment in vulnerable industries or lower income diversification. Conversely, certain urban neighborhoods with lower incomes or higher living costs may also show elevated delinquency. Overall, branch-level delinquency patterns reflect regional employment, housing markets, and borrower risk profiles more than simple urban–rural labels.",,True,Answer Relevancy,1.0,0.5,True,The score is 1.00 because the answer was fully relevant and addressed the question directly without any irrelevant information. Great job staying focused and concise!
test_case_4,Do loan delinquency rates differ between urban and rural areas?,"Loan delinquency rates can differ between urban and rural areas, but the direction of the gap depends on local economic conditions. Some rural areas experience higher delinquency due to concentrated employment in vulnerable industries or lower income diversification. Conversely, certain urban neighborhoods with lower incomes or higher living costs may also show elevated delinquency. Overall, branch-level delinquency patterns reflect regional employment, housing markets, and borrower risk profiles more than simple urban–rural labels.",,True,Bias,0.0,0.5,True,"The score is 0.00 because the actual output shows no evidence of bias, as indicated by the absence of any cited biased phrases or issues. This suggests the response is fair and balanced."
