persona,kpi,difficulty,synthetic_questions,tursio_response
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"What is the trend of 90+ DPD accounts segmented by loan type over the last 24 months, and how does it correlate with macroeconomic indicators such as unemployment and interest rates?","Key Insights

Over the last 24 months, the 90+ DPD counts show monthly fluctuations across loan types with certain loan types (e.g., 101 and 102) exhibiting larger swings in both counts and loan volumes.
While the dataset provides monthly average interest rates alongside DPD counts, there is no clear, direct correlation between the interest rate changes and the frequency of 90+ DPD accounts. The macroeconomic indicator of unemployment is not present in the data, so its correlation cannot be assessed."
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"For accounts that became delinquent in the last year, what share had less than 3 previous months of payment history versus those with more, and how does this impact future default likelihood?","High-Impact Findings

In the last year, 100% of the delinquent accounts (10 accounts) had less than 3 months of payment history, with an average delinquency of 1 day.
There are no records for accounts with 3 or more months of payment history, so the analysis is effectively limited to the group with minimal payment history."
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,Analyze the concentration risk by identifying the top 10% of borrowers contributing to 50% of the total non-performing loans; what segments or characteristics do they share?,"Key Insights:

The top 10% of borrowers driving 50% of the non-performing loans (NPL) each hold a single loan with balances tightly clustered in the range of approximately $44,844 to $49,898.
There is a diverse mix of loan types among these top contributors, with recurring categories including Auto Loan, Personal Loan, Home Loan, and Credit Card. No single loan type overwhelmingly dominates the group."
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"What behavioral traits or transaction patterns can predict early warning signals for accounts that transition from 30 DPD to 90 DPD, based on historical data?","Below are some data‐driven observations that could be used to flag accounts at risk of moving from 30‐day delinquency (DPD) to a 90‐DPD status:

Delinquency Escalation:
Accounts tend to show a measurable increase in the aggregated delinquency amount from the 31–60‑day band to the 61–90‑day band. In other words, an account with even moderate temporary issues (for example, a sum in the low single digits) on 31–60‑day delinquency that then shows a jump in the 61–90‑day category may be an early warning signal.
"
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"How does the delinquency ratio differ across different branch locations, and are there significant concentrations in urban versus rural regions?","Key Findings:

Wide Range of Delinquency Ratios: Across all branches, the delinquency ratio varies from a low of 8.21 to a high of 15.25, indicating a considerable spread in late payment days relative to the number of loans managed.

High Ratios Predominate in Some Rural Branches: The highest observed delinquency ratio of 15.25 occurs in branch 20 (Rural), with other high values (e.g., 14.38 in branch 26) also found among rural branches.

Urban Branches Exhibit Moderately Lower Ratios: Urban branches generally show delinquency ratios between 9.67 and 14, with branch 55 at 14.00 and branch 66 at 9.67 highlighting the range.

No Overwhelming Urban–Rural Divide: Both urban and rural regions display a broad range of ratios. While certain rural branches have the highest ratios, many rural branches also report ratios in the lower spectrum comparable to urban branches, indicating a dispersed pattern rather than a uniform concentration in one region type.
"
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,Identify product-level risks by assessing the average time to delinquency for each loan type and the corresponding 90+ DPD rate; which products require targeted risk mitigation strategies?,"Key Insights

All five loan product types (102, 101, 201, 301, and 401) display a 0% 90+ Days Past Due (DPD) rate, indicating no observable incidence of severe delinquency in this sample.
There are differences in the average time to delinquency across loan types, ranging from 516.51 to 586.85 days."
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"What percentage of accounts with a low credit score (below 600) are actively engaging in additional borrowing, and what is the trend in their delinquency rates versus higher-scored borrowers?","High-Impact Findings:

98.6% of low credit score accounts (below 600) are actively engaging in additional borrowing.
The low credit segment shows average delinquency levels (days past due) across different buckets (e.g., 11–30 days averaging approximately 4.5 to 6.0 days), with a modest month-to-month variation."
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"How do the recent credit utilization ratios of non-performing loan accounts compare to those that have remained performing, particularly in the last six months?","Great question but unfortunately no data points were found to generate an answer for you. Consider adjusting your query to change one or more parameters, such as time or other filters."
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,Evaluate the effect of promotional loan offers on the delinquency rates of those specific products; what is the post-promotion delinquency trend for those who took advantage?,"Great question but unfortunately no data points were found to generate an answer for you. Consider adjusting your query to change one or more parameters, such as time or other filters."
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %,hard,"What is the percentage of accounts moving from a high utilization rate to delinquency, and how does this varied by age of the account and total loan amount?","Key Insight:
The query results indicate that 0% of accounts with a high utilization rate (≥ 80%) have moved to delinquency across all account age and origination balance groups."
